segment_id;user_id;file_name;mode;n_points;duration_s;distance_m;avg_speed_mps;max_speed_mps;std_speed_mps;p50_speed_mps;p90_speed_mps;avg_acc_mps2;std_acc_mps2;max_acc_mps2;min_acc_mps2;avg_turn_deg;std_turn_deg;stop_ratio;high_speed_ratio;mid_speed_ratio
0;10;20080331160008.plt;car;10;533.0;4997.940934586301;8.432577836466683;13.554138964095394;4.878132222074369;9.999731110858725;12.967964287990496;0.015542351824560239;0.12063897341603198;0.20918868960645987;-0.22343401330672605;9.418787822669142;23.030978044254386;0.2;0.5;0.1
1;10;20080331160008.plt;car;12;651.0;6031.302621529735;8.480828407080752;19.759259663568933;6.057874896473851;6.113783758707214;15.047144967354459;0.004020405583946707;0.1184783304923555;0.25609893939082506;-0.20297984179232012;35.8722413122442;45.273584417138935;0.08333333333333333;0.4166666666666667;0.5
2;10;20080402060926.plt;walk;563;1139.0;755.4186636361003;1.083157179207364;3.8480271890995446;0.4789530918406247;1.0580067759343246;1.4920553246084862;0.010578204198772381;0.4583602089089748;2.22342512329644;-2.3846650637320157;15.181142652988651;15.664125943020299;0.07282415630550622;0.0;0.047957371225577264
3;10;20080402060926.plt;car;175;203.0;1073.9495826688483;5.936180590563919;12.483375136685137;3.6565377097064324;5.444662977354627;10.732234422812327;0.07337349314560387;0.7350798506941456;2.943169992566677;-2.0040669349463003;7.713667361616065;9.935911001949073;0.04;0.21142857142857144;0.4685714285714286
4;10;20080402060926.plt;bus;266;1584.0;7326.510690780685;6.9847778439849035;16.5131272009964;3.722160005197026;6.623274224808274;11.717630338360205;0.0786822186118006;1.053435177985456;6.402394492438434;-5.108210907040725;6.752380769537125;17.676937887823613;0.045112781954887216;0.2518796992481203;0.48120300751879697
5;10;20080403010747.plt;walk;16;830.0;477.14536314263046;0.5015422689319792;1.38837911916618;0.48041949196807876;0.3573796703415372;1.2616650206692217;0.0002620274006534043;0.008061566022038153;0.01997757492822405;-0.015700487666383184;34.75385694168321;46.31190706305812;0.5625;0.0;0.0
6;10;20080403010747.plt;walk;11;594.0;550.031616816041;0.8410172922745656;1.3092844385472142;0.3836102727549399;0.9889267179581418;1.1566223711842356;0.001515433854915692;0.0059987189789909995;0.016274101072924877;-0.006191647311450431;56.002165002344555;63.099786973676345;0.18181818181818182;0.0;0.0
7;10;20080403010747.plt;car;384;385.0;4902.120720654046;12.765939376703244;22.27756427258557;5.395443882674511;13.436828432032227;19.458542731723252;0.0015110544071496774;0.7841625880003623;9.266948812587719;-2.4010865761445643;3.223492890378894;9.876506050231756;0.033854166666666664;0.7604166666666666;0.1171875
8;10;20080403160000.plt;walk;108;205.0;178.4963983372105;1.3422025690957577;7.2390427522445355;0.8378699735406118;1.3816173110685048;2.059308888080987;0.023905930550462626;1.0271840692139096;7.2390427522445355;-5.230968889277586;13.997773366815359;16.64515879315017;0.12037037037037036;0.0;0.12037037037037036
9;10;20080403160000.plt;car;1925;1927.0;52008.6668970772;26.98492515627142;36.6149579593002;7.695798285337342;29.98121720874858;34.13259965222258;0.0014101983500571685;0.4136390252418756;3.639907175836849;-2.411276163383169;1.0093429500717426;3.895819187563726;0.0005194805194805195;0.9605194805194806;0.01818181818181818
10;10;20080403160000.plt;car;2167;2170.0;51622.86099715651;23.777511439255704;34.948935136206224;8.58752437808849;26.106963632537155;33.24568345549081;0.0022649403100025098;0.45327640070840436;6.302379625460101;-3.6263622426478554;1.3740654374509227;7.506164778996347;0.01799723119520074;0.9109367789570835;0.029533917858790955
11;10;20080405160011.plt;bus;220;3066.0;15808.09251085918;4.8210255035425424;14.839428313033546;4.015362583413637;4.900093349776769;10.406750262492837;-0.00045686723736206643;0.22309532515091177;0.5813988722336432;-0.6098306075547135;20.010156089618572;34.56699451226134;0.2318181818181818;0.11363636363636363;0.38181818181818183
